date,strategy,ls_ret,ls_ret_gross,long_ret,short_ret,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2014-06-01,HML_Passive,-0.0071,-0.0071,-0.0071,0.0,,,,,,,,,0.92296,-0.0071,0.004008,0.028633,0.008525,0.146294,0.097385,0.066641,0.056147,-0.008093,-0.047945,-0.047945,0.157561,0.575502,0.329857,1.278115,0.177807,0.656203,0.333333,0.333333,0.416667
2014-07-01,HML_Passive,-0.0008,-0.0008,-0.0008,0.0,,,,,,,,,0.922222,-0.0008,-0.008886,0.048679,0.001907,0.146065,0.106577,0.066435,0.055752,-0.008886,-0.02333,-0.047945,0.058704,0.629221,0.123105,1.390893,0.081739,0.716103,0.0,0.333333,0.333333
2014-08-01,HML_Passive,-0.0057,-0.0057,-0.0057,0.0,,,,,,,,,0.916965,-0.0057,-0.013549,0.046364,0.024156,0.125686,0.127672,0.059819,0.05363,-0.014536,-0.02333,-0.047945,0.426285,0.770641,1.183757,1.857262,1.035372,0.852328,0.0,0.333333,0.333333
2014-09-01,HML_Passive,-0.0147,-0.0147,-0.0147,0.0,,,,,,,,,0.903486,-0.0147,-0.0211,-0.017176,0.02115,0.091457,0.128359,0.060621,0.053559,-0.029022,-0.029022,-0.047945,0.372811,0.775398,0.990263,1.875033,0.728757,0.856736,0.0,0.166667,0.333333
2014-10-01,HML_Passive,-0.0163,-0.0163,-0.0163,0.0,,,,,,,,,0.888759,-0.0163,-0.036285,-0.044849,-0.007602,0.037158,0.109301,0.062013,0.054746,-0.043893,-0.044849,-0.047945,-0.095142,0.655619,-0.234994,1.548727,-0.169501,0.733792,0.0,0.0,0.25
2014-11-01,HML_Passive,-0.0313,-0.0313,-0.0313,0.0,,,,,,,,,0.860941,-0.0313,-0.061098,-0.073819,-0.040487,0.01341,0.080197,0.069098,0.05806,-0.067196,-0.074745,-0.074745,-0.56586,0.468221,-1.120635,0.972131,-0.541667,0.34849,0.0,0.0,0.166667
2014-12-01,HML_Passive,0.0212,0.0212,0.0212,0.0,,,,,,,,,0.879193,0.0212,-0.026888,-0.047421,-0.020145,9.2e-05,0.086367,0.073313,0.058604,-0.066449,-0.074745,-0.074745,-0.24416,0.496881,-0.513027,1.041314,-0.269521,0.374577,0.333333,0.166667,0.25
2015-01-01,HML_Passive,-0.0345,-0.0345,-0.0345,0.0,,,,,,,,,0.848861,-0.0345,-0.044892,-0.079548,-0.034742,-0.044067,0.058734,0.078577,0.06204,-0.074272,-0.087728,-0.087728,-0.413609,0.333863,-0.766417,0.633441,-0.396017,0.218934,0.333333,0.166667,0.25
2015-02-01,HML_Passive,-0.0179,-0.0179,-0.0179,0.0,,,,,,,,,0.833666,-0.0179,-0.03168,-0.090842,-0.04869,-0.063145,0.035434,0.080041,0.063044,-0.077278,-0.104058,-0.104058,-0.585951,0.211627,-1.100961,0.401029,-0.467917,0.112191,0.333333,0.166667,0.25
2015-03-01,HML_Passive,-0.0038,-0.0038,-0.0038,0.0,,,,,,,,,0.830498,-0.0038,-0.055386,-0.080785,-0.096573,-0.064647,0.019368,0.055672,0.062775,-0.065553,-0.107462,-0.107462,-1.790859,0.129118,-2.390268,0.244868,-0.898672,0.059695,0.0,0.166667,0.166667
